"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_1202100.1","conserved protein, unknown function",-0.626768933202864,5.1178254469863,-4.35733870629402,4.37323168357702e-05,0.19242937189819,1.68959446141705
"PF3D7_1423200","peptidyl-prolyl cis-trans isomerase (CYP52)",-0.586065774178573,5.82828079187223,-3.95230283577916,0.000181257351601498,0.19242937189819,0.631110528566707
"PF3D7_0912500","conserved Plasmodium protein, unknown function",-0.525476241465012,7.18803062065748,-3.94349638802144,0.000186795753253601,0.19242937189819,0.640919529430344
"PF3D7_0509000","SNAP protein (soluble N-ethylmaleimide-sensitive factor attachment protein), putative",-0.73811884354442,5.3275107186854,-3.92738181892395,0.000197353509408049,0.19242937189819,0.466989682866943
"PF3D7_0408300","zinc finger, RAN binding protein, putative",-0.51081266545546,6.62030380315224,-3.90011832676475,0.000216531710814829,0.19242937189819,0.516476715315093
"PF3D7_0930800","conserved Plasmodium membrane protein, unknown function",0.565089051111803,6.37475743632029,3.85219860695943,0.000254648485088032,0.19242937189819,0.340804112473145
"PF3D7_0204200","conserved Plasmodium protein, unknown function",-0.459896185191442,7.79372759441163,-3.76080612658035,0.000345863788949829,0.208450885140156,0.112319395236214
"PF3D7_0512000","prefoldin subunit, putative",-0.730307704318358,5.31493717622561,-3.74229950683908,0.000367800414892203,0.208450885140156,-0.00524931820003793
"PF3D7_1124700","GrpE protein homolog, mitochondrial, putative (MGE1)",-0.443110104950556,6.49912821964305,-3.69126249570068,0.000435390012939191,0.219339813185144,-0.0958663581582222
"PF3D7_1244800","cytoplasmic translation machinery associated protein, putative",-0.596448116026062,8.10816356065738,-3.55391310225516,0.000681051344813323,0.257930361120969,-0.474091961072822
"PF3D7_0726400","conserved Plasmodium membrane protein, unknown function",0.58551869172569,8.04721471957025,3.48455837028036,0.0008504765498238,0.257930361120969,-0.666172071874484
"PF3D7_1429700","mitochondrial ribosomal protein L15 precursor, putative",-0.535101946430749,6.01287427435256,-3.46918079799747,0.000893107038506116,0.257930361120969,-0.725282165016159
"PF3D7_0216200","conserved Plasmodium protein, unknown function",-0.655129454602069,4.87720283116158,-3.46224990960516,0.000912975462249731,0.257930361120969,-0.78461952208036
"PF3D7_1248200","RNA-binding protein, putative",-0.458784909660737,6.30535894963398,-3.43699717200727,0.000988961577096258,0.257930361120969,-0.801088492408627
"PF3D7_0503300","serine/arginine-rich splicing factor 12 (SRSF12)",-0.785175031900286,8.71293620178632,-3.42258217654584,0.00103497836156276,0.257930361120969,-0.833910660851261
"PF3D7_0728000","eukaryotic translation initiation factor 2 alpha subunit, putative",-0.592275385989701,8.86890857579141,-3.39403971198355,0.0011321275224023,0.257930361120969,-0.911058131568409
"PF3D7_1418100","liver specific protein 1, putative (LISP1)",1.55481910773062,0.0537038988349896,3.38454099703872,0.00116632389656436,0.257930361120969,-2.74413700168788
